,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Phycodes,Rosselia,Laevicyclus,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Altichnus,Heimdallia,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Lennea,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Piscichnus,Bifungites,Naktodemasis,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Osculichnus,Phycosiphon,Furnasichnus,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Didymaulyponomos,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Dendrotichnium,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Asterosoma,Chagrinichnites,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Psilonichnus,Hillichnus,Phymatoderma,Diplichnites,Daedalus,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Ilmenichnus,Teichichnus,Scalichnus,Margaritichnus,Arenituba,Cochlichnus,Oldhamia
Thalassinoides,0.0,0.0,0.0,0.0,0.1411764705882353,0.0,0.10606060606060606,0.04081632653061224,0.0,0.02127659574468085,0.0,0.02,0.022222222222222223,0.0,0.10606060606060606,0.0,0.044444444444444446,0.021739130434782608,0.0,0.0,0.0625,0.0,0.0,0.043478260869565216,0.12727272727272726,0.03571428571428571,0.0661764705882353,0.0,0.0,0.0,0.0,0.1095890410958904,0.0,0.10869565217391304,0.14285714285714285,0.0,0.015151515151515152,0.0,0.12727272727272726,0.0,0.08,0.04081632653061224,0.10891089108910891,0.044444444444444446,0.044444444444444446,0.02127659574468085,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.17045454545454544,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.03571428571428571,0.0,0.0,0.014285714285714285,0.0,0.06060606060606061,0.0,0.0,0.0,0.019230769230769232,0.0
Psilonichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillichnus,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phymatoderma,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0273972602739726,0.0,0.08955223880597014,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.019801980198019802,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0
Diplichnites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.008771929824561403,0.0,0.0,0.13333333333333333,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.1111111111111111,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.045454545454545456,0.07692307692307693,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Daedalus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Didymaulichnus,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.02857142857142857,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.05,0.058823529411764705,0.0,0.16666666666666666,0.0,0.0,0.07317073170731707,0.0,0.0,0.26666666666666666,0.0,0.0,0.2222222222222222,0.023529411764705882,0.0,0.0,0.07692307692307693,0.041666666666666664,0.25,0.25,0.0,0.2857142857142857,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.125,0.0,0.0,0.0,0.11864406779661017,0.09090909090909091,0.125,0.125,0.0,0.0,0.125,0.5,0.0,0.0392156862745098,0.0,0.0,0.0,0.045454545454545456,0.0,1.0,0.23529411764705882,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.125,0.0,0.06666666666666667,0.0
Lockeia,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0970873786407767,0.0,0.11764705882352941,0.0,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.10843373493975904,0.0,0.0,0.0,0.02564102564102564,0.15384615384615385,0.15384615384615385,0.0,0.0,0.1,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.03571428571428571,0.0,0.0,0.0,0.07692307692307693,0.0,0.23529411764705882,1.0,0.0,0.0,0.1111111111111111,0.07692307692307693,0.15151515151515152,0.0,0.0,0.29411764705882354,0.3125,0.0
Scoyenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dolopichnus,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
