,Isopodichnus,Siphonichnus,Pentichnus,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Pramollichnus,Laevicyclus,Lophoctenium,Glockerichnus,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Spirophyton,Megagrapton,Ptychoplasma,Protopaleodictyon,Arenicolites,Helminthopsis,Pennatulites,Dactyloidites,Skolithos,Treptichnus,Vagorichnus,Diplocraterion,Dictyodora,Hartsellea,Parataenidium,Cylindrichnus,Phycosiphon,Paleomeandron,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Echinospira,Hormosiroidea,Conostichus,Asterosoma,Arthrophycus,Entradichnus,Thalassinoides,Hillichnus,Phymatoderma,Diplichnites,Biformites,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Circulichnis,Teichichnus,Ancorichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia
Zoophycos,0.0,0.013513513513513514,0.0,0.08433734939759036,0.0,0.0125,0.04,0.013333333333333334,0.02702702702702703,0.0,0.02564102564102564,0.013513513513513514,0.0,0.0,0.013513513513513514,0.013333333333333334,0.05405405405405406,0.013333333333333334,0.0,0.013157894736842105,0.024691358024691357,0.05952380952380952,0.0,0.0,0.046296296296296294,0.0,0.0,0.05063291139240506,0.01098901098901099,0.0,0.013333333333333334,0.04054054054054054,0.043478260869565216,0.0,0.06293706293706294,0.06329113924050633,0.0,1.0,0.013333333333333334,0.09090909090909091,0.03896103896103896,0.0,0.03571428571428571,0.0,0.01282051282051282,0.012658227848101266,0.0,0.09803921568627451,0.039473684210526314,0.010752688172043012,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0,0.013157894736842105,0.05,0.0,0.0,0.0641025641025641,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.06493506493506493,0.04054054054054054,0.0,0.03896103896103896,0.012658227848101266,0.0,0.0
Neonereites,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.1,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.09090909090909091,0.0,0.013333333333333334,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.02564102564102564,0.0,0.047619047619047616,0.0,0.5,0.0,0.0,0.0,0.25,0.09090909090909091,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
Chondrites,0.0,0.017241379310344827,0.016666666666666666,0.13846153846153847,0.0,0.031746031746031744,0.0,0.034482758620689655,0.0,0.0,0.03225806451612903,0.017241379310344827,0.0,0.0,0.017241379310344827,0.01694915254237288,0.0,0.034482758620689655,0.0,0.016666666666666666,0.03076923076923077,0.07352941176470588,0.0,0.0,0.021052631578947368,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.15254237288135594,0.014925373134328358,0.04918032786885246,0.09090909090909091,0.034482758620689655,1.0,0.0,0.01639344262295082,0.0,0.0,0.03278688524590164,0.0847457627118644,0.0,0.043478260869565216,0.0,0.14705882352941177,0.0,0.017241379310344827,0.0,0.0,0.0,0.016666666666666666,0.07936507936507936,0.0,0.0,0.03076923076923077,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.017241379310344827,0.031496062992125984,0.0,0.1,0.0,0.0,0.04918032786885246,0.06666666666666667,0.0,0.0
Psammichnites,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.05263157894736842,0.0,0.0,0.043478260869565216,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.024390243902439025,0.3333333333333333,0.0,0.03896103896103896,0.0,0.0,1.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.09090909090909091,0.023255813953488372,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,0.0
Ophiomorpha,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taenidium,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.022222222222222223,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.3275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.023809523809523808,0.36363636363636365,0.0196078431372549,0.0,0.03571428571428571,0.0,0.0,0.02127659574468085,0.0,1.0,0.0,0.0,0.0,0.02127659574468085,0.012658227848101266,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.022222222222222223,0.2375,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07476635514018691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monocraterion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multina,0.0,0.0,0.0,0.05,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.6,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10256410256410256,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scalarituba,0.0,0.0,0.0,0.047619047619047616,0.0,0.08333333333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,0.06666666666666667,0.0,0.012658227848101266,0.14285714285714285,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Protovirgularia,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.02127659574468085,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
