,Steinichnus,Pilichnus,Rhizocorallium,Halimedides,Camborygma,Rebuffoichnus,Phycodes,Archaeonassa,Fictovichnus,Avetoichnus,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Nummipera,Lunulichnus,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Heimdallia,Scolicia,Megagrapton,Cardioichnus,Trichichnus,Coprinisphaera,Capodistria,Arenicolites,Helminthopsis,Tasselia,Estrellichnus,Skolithos,Desmograpton,Spirophycus,Treptichnus,Asthenopodichnium,Piscichnus,Macanopsis,Naktodemasis,Diplocraterion,Dictyodora,Cylindrichnus,Osculichnus,Phycosiphon,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Helicolithus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Daimoniobarax,Multina,Teisseirei,Protovirgularia,Alcyonidiopsis,Nereites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Paradictyodora,Edaphichnium,Asterosoma,Macaronichnus,Entradichnus,Thalassinoides,Psilonichnus,Scaphichnium,Hillichnus,Phymatoderma,Atollites,Helminthorhaphe,Daedalus,Cladichnus,Spirodesmos,Lockeia,Stelloglyphus,Scoyenia,Cruziana,Sinusichnus,Teichichnus,Ancorichnus,Dreginozoum,Urohelminthoida,Arenituba,Cochlichnus,Polykladichnus
Camborygma,,,,,0.0,,,,,,,,,,,,,,,26.5,,,,,,,,,,53.5,,,,46.5,,,,,,,,,,,,,,38.0,,,,,,,32.5,,,,,,,,,45.5,,,,,,,,,5.5,,,,,,,,,,,,21.5,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,59.0,22.0,,,,,,,,32.5,2.1666666666666665,58.8,56.2,,,63.0,,156.0,,,,,5.375,,,2.3529411764705883,,,2.0,22.833333333333332,4.0,,344.0,47.0,,,,,,,74.5,,,,37.75,,1.2666666666666666,34.0,1.7321428571428572,13.5,0.0,,23.727272727272727,,,,,,,,23.2,13.090909090909092,25.625,,29.5,,25.0,,112.0,530.0,,1.9473684210526316,,,,7.4,16.0,52.8,,40.0,,455.0,,,18.0,,3.0,,42.0,,,,21.0
Circulichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,103.0,,40.0,,,,,,,,,,122.0,,69.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
