,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Fontanai,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Lorenzinia,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Dactyloidites,Skolithos,Treptichnus,Helicodromites,Macanopsis,Unisulcus,Bifungites,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Ctenopholeus,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Monesichnus,Palaeophycus,Paleodictyon,Bergaueria,Asterosoma,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Diplichnites,Cylindricum,Biformites,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Ancorichnus,Compaginatichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Cruziana,21.0,12.8,,,1.4642857142857142,,,20.444444444444443,54.0,,,34.5,,11.5,,0.4883720930232558,,3.8,,,,,,,,,,1.75,54.0,,0.5185185185185185,11.5,,,50.0,,,13.0,,11.75,32.333333333333336,,2.25,,21.666666666666668,,,,10.5,3.7777777777777777,,,,,180.0,,,,,,56.5,,,,1.2916666666666667,,,13.5,,,,1.825,0.3448275862068966,,12.0,,,,39.0,3.2,,0.0,,,8.142857142857142,,,6.0,38.666666666666664,5.5,
Ctenopholeus,,,,,,,,,,,,,49.5,37.0,,,,,,,,59.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,0.0,,8.0,,,,,67.5,,,,,,,,,,,76.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,12.25,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,47.5,,,,,,,,,,8.0,,,,,,9.0,,,,,17.25,,,,,43.0,,,3.25,,,,,,,,,6.0,2.75,
Cylindrichnus,,18.166666666666668,15.0,,8.714285714285714,,,6.142857142857143,,,,2.9,,31.0,,12.714285714285714,,,,,,,,64.0,,,,3.25,,15.0,2.1333333333333333,,30.0,,,,,1.0,,0.0,7.571428571428571,,7.384615384615385,,,,,,6.0,,,,,8.25,147.0,3.75,16.0,,,,,,,,0.6818181818181818,,,2.0,,,,2.75,,,,,,,,9.666666666666666,,11.75,,,2.6,22.5,,44.0,,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Dactyloidites,,,,,81.0,,,59.0,,,,,,,,,,,,,,,,,,,,41.0,,0.0,97.0,,15.0,,,,,,,15.0,,,69.0,,,,,,27.0,,,,,46.0,,31.0,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,,,108.0,,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,3.3333333333333335,,260.0,,,,,,93.0,,,,,86.0,,,13.0,134.0,,,,,,,,,,72.0,15.0,,,60.5,,,,,,,,,,,4.75,,,,,,,,,,,19.333333333333332,,,,,,,,,,,16.125,,,,,,,17.5,16.0,,,,,,0.0,,,39.0,,24.0,,,,,38.5,,
Didymaulyponomos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplichnites,,,,,1.24,,,,77.0,,,,,,,2.36,,5.875,,,,,,,,,,,31.0,,,14.571428571428571,,2.8,,,,,,,,,9.75,,23.333333333333332,,,,,4.380952380952381,,,,,97.0,,,,,,51.5,,,,6.75,,,,,,,3.16,0.0,,,18.6,,,16.0,25.5,,0.3448275862068966,,,,,,,3.375,10.5,
Diplocraterion,,15.666666666666666,9.5,,3.0434782608695654,,,4.666666666666667,,,,5.1,,16.0,,10.571428571428571,,,,,,,,,,,,2.25,,,0.7894736842105263,,,,,17.25,,0.0,,1.0,6.333333333333333,,2.05,,,,,,139.0,,,,,16.0,132.0,,41.0,,,,,,,,1.7058823529411764,,,18.5,,,,2.7142857142857144,,,,,,,,7.166666666666667,,13.0,,,7.777777777777778,34.5,,29.0,,,
Dolopichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreginozoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsoideichnus,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,110.0,,,,,0.0,185.0,,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entradichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,,,,,,,20.5,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
Ereipichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
