,Isopodichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Camborygma,Phycodes,Archaeonassa,Catenichnus,Rosselia,Glockerichnus,Cosmorhaphe,Rusophycus,Furculosus,Spirorhaphe,Scolicia,Syringomorpha,Spirophyton,Ptychoplasma,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Spirophycus,Treptichnus,Helicodromites,Bifungites,Volkichnium,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Climactichnites,Phycosiphon,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Macaronichnus,Arthrophycus,Thalassinoides,Diplichnites,Cylindricum,Daedalus,Arachnostega,Spirodesmos,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Compaginatichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,36.0,89.0,,,26.0,,,,,75.0,,13.0,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,94.2,35.5,,,45.5,10.75,,188.0,,,36.0,,,237.0,,,,5.222222222222222,,2.0,8.583333333333334,108.66666666666667,,,,6.0,65.0,,93.33333333333333,,,55.666666666666664,,23.0,68.0,3.6666666666666665,6.333333333333333,7.5,22.5,0.0,,14.75,,87.0,56.5,,,,,,,,2.8333333333333335,39.0,12.0,,56.0,,130.0,96.0,4.0,64.0,,,,,,48.2,118.2,,13.0,9.857142857142858,,17.0,9.0,,138.5,123.0,5.333333333333333,3.6,,
Circulichnis,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,52.0,,0.0,,,,,,,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,227.5,,,,139.0,27.0,13.0,,41.0,,,,,161.0,,195.0,,,,157.0,26.666666666666668,171.0,182.0,,64.0,,,,4.333333333333333,29.0,,,,,,149.0,94.0,,,5.333333333333333,,,,,110.0,,,,,,,,125.0,,,95.0,,,,,,40.0,,,,,,7.666666666666667,25.333333333333332,,,3.25,,,212.0,,20.666666666666668,139.0,0.0,,,
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,13.5,,,,,,,,,,,,8.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,13.5,0.0,,,,,,
Conichnus,,97.0,,,,,,,176.0,,,,,,225.0,,,,,,52.0,17.0,197.0,,,,,,,66.0,,,21.0,,,,164.0,5.0,,,3.6,,10.25,,,,,,,,,,,150.0,,24.0,,,,118.0,38.0,,52.0,,,,,,36.0,109.0,,,11.0,,,208.0,,,,,0.0,,
Conostichus,,,,,,,,,,,,75.0,,,,,,,,,86.0,,27.0,,,,,,,16.0,,,,,,,50.0,,,,56.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.5,,39.0,37.0,,,,,,,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,,,,,,,,,0.0,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
