,Steinichnus,Siphonichnus,Pilichnus,Gyrochorte,Rhizocorallium,Camborygma,Rebuffoichnus,Phycodes,Rutichnus,Fictovichnus,Rosselia,Bichordites,Laevicyclus,Lophoctenium,Spongeliomorpha,Jamesonichnites,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Spirophycus,Treptichnus,Helicodromites,Macanopsis,Megaplanolites,Naktodemasis,Haentzschelinia,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Dactylophycus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Pholeus,Gyrophyllites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Bornichnus,Phoebichnus,Asterosoma,Mixoteichichnus,Macaronichnus,Arthrophycus,Lapispira,Entradichnus,Thalassinoides,Psilonichnus,Bolonia,Hillichnus,Imponoglyphus,Phymatoderma,Diplichnites,Cylindricum,Helminthorhaphe,Daedalus,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Walpia,Teichichnus,Scalichnus,Ancorichnus,Compaginatichnus,Calceoformites,Margaritichnus,Cochlichnus,Conichnus,Polykladichnus
Bifungites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonia,,,,68.0,,,,,,,,80.0,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bornichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Camborygma,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,102.0,241.0,3.0,6.352941176470588,,,4.461538461538462,17.0,,11.5,,128.0,90.0,25.0,,12.0,,77.0,,3.909090909090909,67.0,,26.0,,2.4,,,6.777777777777778,2.857142857142857,,3.857142857142857,6.08,,,7.0,,,,,,23.5,,2.0,6.6,25.0,0.5087719298245614,,1.1,39.0,0.0,,,13.05,1.8666666666666667,8.285714285714286,102.0,36.0,8.5,10.0,44.2,24.0,3.090909090909091,19.75,,6.0,,218.0,19.666666666666668,,19.5,,,,0.30612244897959184,,,,,,12.0,,22.0,40.0,,,,16.0,4.916666666666667,,18.833333333333332,,0.6666666666666666,,,,,150.0,12.0,,114.0
Circulichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,229.0,78.0,36.5,,,23.0,,,,,116.0,,,,,,,,303.0,,,,,,,,62.0,13.0,,,313.0,,,,,,,,,54.0,,,,13.0,11.333333333333334,24.0,,,12.0,214.0,,179.0,324.0,154.0,90.0,,28.0,,169.0,36.0,6.0,,,6.0,,206.0,48.0,,,,,,46.5,,,,,,,,,28.0,,196.0,,38.0,18.5,,,,335.0,,,,,138.0,0.0,13.0,
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,27.0,,,,,,,,,,,16.0,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,0.0,,,,,
Conichnus,,,,6.333333333333333,60.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,201.0,,,,,,,43.0,,,,,,,25.0,,,,,,,,,80.0,,,,,,,,,,,183.0,,,24.0,,,,,,8.333333333333334,,,,13.0,0.0,
Conostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,13.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruziana,,192.0,,74.0,135.0,,,,,,75.5,,,,38.5,,,7.0,,,182.0,55.0,,,,,,,117.5,,,59.0,0.56,,,,,,,,,127.0,,,92.0,,2.8,30.0,4.333333333333333,,18.833333333333332,,,23.333333333333332,42.5,,,,118.0,,,,9.0,161.0,,,,,71.0,,27.0,,,,25.25,,,,,,15.0,,10.0,,,,,44.0,18.0,45.5,0.0,,217.0,53.5,,,,,,,102.0
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,8.333333333333334,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,0.0,,,,190.0,,63.0,,,,,32.0,,,,,,,36.0,,20.5,,,,,,,69.0,,,,,,,,,,,172.0,,,13.0,,30.0,,,,,,,,24.0,11.0,
Cylindrichnus,,,,,16.0,,,12.333333333333334,,,5.0,,,,,,,,,,,,,,,,,,4.333333333333333,,,2.5,11.2,,,5.0,,,,,,9.25,,0.0,,,8.4,,,,2.0,,,6.777777777777778,,7.666666666666667,,,,,,,3.5,,,,,,8.333333333333334,,,,,,19.857142857142858,,,,,,,,,,,,,,,,,,17.571428571428573,,,,,,,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,29.0,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Dactyloidites,,125.5,,7.5,11.571428571428571,,,9.833333333333334,,,210.0,,,,,,,,,,241.0,114.0,,,,,,,5.857142857142857,,,0.0,16.166666666666668,,,2.5,,,,160.0,,15.5,,2.5,,,9.857142857142858,,,,3.857142857142857,,,6.571428571428571,265.0,5.166666666666667,,,177.0,,,,67.5,220.0,,,,,6.0,,86.0,,,,13.777777777777779,,,,,,,,69.0,,,,,15.0,,,59.0,,13.5,,,,,,,,80.5
Dactylophycus,,,216.0,65.0,274.0,,,206.0,,,,,103.0,,,,,,,,290.0,,,,,,,,75.0,,,,300.0,,,,,,,,,41.0,,,,0.0,227.0,,,,25.0,,,166.0,311.0,141.0,77.0,,257.0,,156.0,49.0,179.0,,,37.0,,193.0,61.0,,,,,,335.0,,,,,,,,,15.0,,,,25.0,116.0,,,,322.0,,,,,125.0,13.0,,
Daedalus,,,201.0,50.0,259.0,,,191.0,,,,,88.0,,,,,,,,275.0,,,,,,,,90.0,,,,285.0,,,,,,,,,26.0,,,,15.0,212.0,,,,40.0,,,151.0,296.0,126.0,62.0,,242.0,,141.0,64.0,164.0,,,52.0,,178.0,76.0,,,,,,320.0,,,,,,,,,0.0,,,,10.0,101.0,,,,307.0,,,,,110.0,28.0,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,,236.0,191.0,40.0,89.5,,,181.0,,,195.0,,78.0,,,,,,,,113.0,99.0,,,,,,,20.5,,,15.0,275.0,,,,,,,,,8.0,,,,25.0,67.0,,,,16.0,,,43.0,16.0,116.0,52.0,,81.0,,131.0,74.0,8.25,205.0,,62.0,,168.0,13.5,,71.0,37.5,,,139.0,,,,,,,,54.0,10.0,,,,0.0,91.0,,44.0,,130.5,,,,,100.0,38.0,,146.0
